Current,Voltage,Ah Out,Cumulative Actual Disch Ah,Power,Remaining Capacity,Time to Depletion,type,capacity,charged,prediction
12.25,12.03,0.2041666666666666,16.273666666666664,147.36749999999998,63.726333333333336,18727.738775510206,tn1,85.0,80.0,[18643.6044298]
12.24,12.03,0.204,16.477666666666664,147.2472,63.522333333333336,18683.03921568628,tn1,85.0,80.0,[18635.78929718]
16.08,11.96,0.2679999999999999,16.745666666666665,192.3168,63.254333333333335,14161.417910447764,tn1,85.0,80.0,[14179.58050415]
16.08,11.95,0.2679999999999999,17.013666666666666,192.156,62.98633333333333,14101.417910447764,tn1,85.0,80.0,[14136.50227184]
16.07,11.95,0.2678333333333333,17.281499999999998,192.0365,62.718500000000006,14050.192906036094,tn1,85.0,80.0,[14097.88855035]
12.57,12.01,0.2095,17.490999999999996,150.9657,62.509,17902.33890214797,tn1,85.0,80.0,[17932.87938036]
12.57,12.01,0.2095,17.700499999999995,150.9657,62.29950000000001,17842.338902147974,tn1,85.0,80.0,[17906.0976446]
12.58,12.01,0.2096666666666666,17.91016666666666,151.0858,62.08983333333334,17768.155802861686,tn1,85.0,80.0,[17852.60943275]
10.06,12.06,0.1676666666666666,18.077833333333327,121.3236,61.92216666666667,22159.025844930416,tn1,85.0,80.0,[21644.33171656]
10.06,12.06,0.1676666666666666,18.2455,121.3236,61.75450000000001,22099.025844930416,tn1,85.0,80.0,[21510.5656725]
21.41,11.85,0.3568333333333333,18.602333333333327,253.7085,61.39766666666667,10323.755254553947,tn1,85.0,80.0,[10359.74517506]
21.88,11.83,0.3646666666666666,18.966999999999995,258.8404,61.033,10041.992687385742,tn1,85.0,80.0,[10056.28377799]
11.89,12.01,0.1981666666666666,19.16516666666666,142.7989,60.834833333333336,18419.29352396972,tn1,85.0,80.0,[18388.26680215]
11.88,12.01,0.198,19.36316666666666,142.6788,60.63683333333334,18374.797979797982,tn1,85.0,80.0,[18397.93706652]
15.12,11.94,0.252,19.61516666666666,180.5328,60.38483333333334,14377.341269841272,tn1,85.0,80.0,[14401.06188935]
15.12,11.94,0.252,19.86716666666666,180.5328,60.13283333333334,14317.341269841272,tn1,85.0,80.0,[14298.64523764]
15.12,11.93,0.252,20.119166666666658,180.3816,59.88083333333334,14257.341269841272,tn1,85.0,80.0,[14265.29374002]
15.11,11.93,0.2518333333333333,20.37099999999999,180.2623,59.629000000000005,14206.776968894774,tn1,85.0,80.0,[14234.61702036]
15.11,11.93,0.2518333333333333,20.622833333333325,180.2623,59.37716666666668,14146.776968894774,tn1,85.0,80.0,[14202.3671515]
15.1,11.92,0.2516666666666666,20.87449999999999,179.992,59.12550000000001,14096.14569536424,tn1,85.0,80.0,[14093.67055103]
15.1,11.92,0.2516666666666666,21.126166666666656,179.992,58.873833333333344,14036.14569536424,tn1,85.0,80.0,[14046.47511578]
15.1,11.92,0.2516666666666666,21.37783333333332,179.992,58.62216666666668,13976.14569536424,tn1,85.0,80.0,[14020.30292926]
15.1,11.91,0.2516666666666666,21.629499999999982,179.841,58.370500000000014,13916.14569536424,tn1,85.0,80.0,[13936.1872591]
17.65,11.86,0.2941666666666666,21.92366666666665,209.329,58.07633333333335,11845.597733711053,tn1,85.0,80.0,[11761.82142659]
17.64,11.86,0.294,22.21766666666665,209.2104,57.78233333333335,11792.31292517007,tn1,85.0,80.0,[11714.32526498]
19.74,11.82,0.3289999999999999,22.546666666666653,233.3268,57.45333333333335,10477.81155015198,tn1,85.0,80.0,[10687.63983132]
24.71,11.72,0.4118333333333333,22.958499999999987,289.6012,57.04150000000001,8310.37636584379,tn1,85.0,80.0,[8323.67137721]
24.69,11.72,0.4115,23.369999999999987,289.3668,56.63000000000001,8257.108140947754,tn1,85.0,80.0,[8281.99020877]
24.66,11.71,0.411,23.780999999999988,288.76860000000005,56.21900000000001,8207.153284671534,tn1,85.0,80.0,[8234.93225403]
24.65,11.7,0.4108333333333333,24.19183333333332,288.405,55.80816666666668,8150.482758620692,tn1,85.0,80.0,[8192.53143102]
24.62,11.69,0.4103333333333333,24.60216666666665,287.8078,55.39783333333335,8100.414297319254,tn1,85.0,80.0,[8189.06497671]
14.77,11.86,0.2461666666666666,24.84833333333332,175.17219999999998,55.15166666666668,13442.51861882194,tn1,85.0,80.0,[13407.85454644]
14.77,11.86,0.2461666666666666,25.09449999999999,175.17219999999998,54.90550000000001,13382.51861882194,tn1,85.0,80.0,[13370.51000493]
18.37,11.8,0.3061666666666667,25.40066666666665,216.766,54.59933333333335,10699.923788786067,tn1,85.0,80.0,[10817.61466126]
18.35,11.79,0.3058333333333333,25.706499999999988,216.3465,54.29350000000001,10651.585831062672,tn1,85.0,80.0,[10831.44992806]
14.07,11.86,0.2345,25.94099999999999,166.87019999999998,54.05900000000001,13831.72707889126,tn1,85.0,80.0,[13647.62030114]
14.07,11.86,0.2345,26.17549999999999,166.87019999999998,53.824500000000015,13771.72707889126,tn1,85.0,80.0,[13630.30015151]
14.07,11.86,0.2345,26.40999999999999,166.87019999999998,53.59000000000001,13711.72707889126,tn1,85.0,80.0,[13620.64542197]
10.5,11.93,0.175,26.58499999999999,125.265,53.415000000000006,18313.71428571429,tn1,85.0,80.0,[18014.10417585]
16.66,11.81,0.2776666666666667,26.86266666666665,196.7546,53.13733333333335,11482.256902761108,tn1,85.0,80.0,[11608.70784953]
16.65,11.8,0.2774999999999999,27.14016666666665,196.47,52.85983333333334,11429.153153153156,tn1,85.0,80.0,[11397.88059619]
16.65,11.8,0.2774999999999999,27.41766666666665,196.47,52.58233333333335,11369.153153153156,tn1,85.0,80.0,[11375.6822552]
16.64,11.79,0.2773333333333333,27.69499999999999,196.1856,52.30500000000001,11315.985576923078,tn1,85.0,80.0,[11343.82189686]
16.64,11.79,0.2773333333333333,27.972333333333324,196.1856,52.02766666666668,11255.985576923078,tn1,85.0,80.0,[11296.51013522]
20.96,11.7,0.3493333333333333,28.32166666666666,245.232,51.67833333333334,8876.049618320612,tn1,85.0,80.0,[8656.52787148]
17.79,11.75,0.2965,28.61816666666666,209.0325,51.38183333333334,10397.672849915683,tn1,85.0,80.0,[10568.60164784]
17.78,11.75,0.2963333333333333,28.9145,208.915,51.08550000000001,10343.520809898764,tn1,85.0,80.0,[10538.41747553]
12.66,11.83,0.211,29.12549999999999,149.7678,50.87450000000001,14466.68246445498,tn1,85.0,80.0,[13862.65080068]
12.15,11.85,0.2025,29.327999999999992,143.9775,50.67200000000001,15013.925925925929,tn1,85.0,80.0,[14332.09716031]
12.15,11.85,0.2025,29.5305,143.9775,50.46950000000001,14953.925925925929,tn1,85.0,80.0,[14317.60604528]
13.96,11.82,0.2326666666666667,29.76316666666666,165.0072,50.23683333333334,12955.057306590255,tn1,85.0,80.0,[12916.06827012]
15.74,11.77,0.2623333333333333,30.0255,185.2598,49.974500000000006,11430.0,tn1,85.0,80.0,[11370.87569647]
15.73,11.77,0.2621666666666666,30.28766666666666,185.1421,49.71233333333334,11377.266369993644,tn1,85.0,80.0,[11336.74715122]
15.72,11.77,0.262,30.54966666666666,185.0244,49.45033333333334,11324.503816793893,tn1,85.0,80.0,[11305.86800248]
18.67,11.71,0.3111666666666667,30.860833333333325,218.6257,49.13916666666668,9475.147295125871,tn1,85.0,80.0,[9459.76533072]
18.66,11.7,0.311,31.171833333333325,218.322,48.82816666666668,9420.225080385851,tn1,85.0,80.0,[9352.40931519]
7.99,11.92,0.1331666666666666,31.305,95.2408,48.69500000000001,21940.175219023786,tn1,85.0,80.0,[21359.85820484]
23.64,11.63,0.394,31.69899999999999,274.9332,48.30100000000001,7355.482233502539,tn1,85.0,80.0,[7405.36473515]
25.07,11.58,0.4178333333333333,32.116833333333325,290.3106,47.88316666666668,6875.9234144395705,tn1,85.0,80.0,[6924.39706274]
25.03,11.57,0.4171666666666667,32.53399999999999,289.5971,47.46600000000001,6826.911705952858,tn1,85.0,80.0,[6865.3873914]
25.01,11.55,0.4168333333333333,32.95083333333333,288.86550000000005,47.04916666666667,6772.371051579369,tn1,85.0,80.0,[6812.41056984]
4.82,11.95,0.0803333333333333,33.031166666666664,57.599,46.968833333333336,35080.45643153527,tn1,85.0,80.0,[34949.49877534]
4.83,11.97,0.0805,33.111666666666665,57.8151,46.888333333333335,34947.82608695652,tn1,85.0,80.0,[34901.18261796]
4.84,11.98,0.0806666666666666,33.19233333333333,57.9832,46.80766666666667,34815.61983471075,tn1,85.0,80.0,[34794.89553768]
4.84,11.98,0.0806666666666666,33.273,57.9832,46.727,34755.61983471075,tn1,85.0,80.0,[34785.69553768]
14.63,11.75,0.2438333333333333,33.51683333333333,171.9025,46.48316666666667,11438.099794941902,tn1,85.0,80.0,[11574.55325788]
14.62,11.75,0.2436666666666666,33.7605,171.785,46.2395,11385.92339261286,tn1,85.0,80.0,[11537.41550206]
18.97,11.66,0.3161666666666666,34.07666666666667,221.1902,45.92333333333333,8715.023721665788,tn1,85.0,80.0,[8789.59889618]
18.95,11.65,0.3158333333333333,34.3925,220.7675,45.6075,8664.221635883905,tn1,85.0,80.0,[8668.44477933]
22.9,11.57,0.3816666666666666,34.774166666666666,264.953,45.22583333333333,7109.737991266376,tn1,85.0,80.0,[7038.26149318]
22.87,11.56,0.3811666666666667,35.15533333333333,264.3772,44.84466666666667,7059.064276344557,tn1,85.0,80.0,[6997.07732287]
22.86,11.55,0.381,35.53633333333333,264.033,44.46366666666667,7002.152230971129,tn1,85.0,80.0,[6962.22823468]
22.84,11.54,0.3806666666666666,35.917,263.5736,44.083,6948.283712784588,tn1,85.0,80.0,[6883.90973856]
22.82,11.53,0.3803333333333333,36.29733333333333,263.1146,43.702666666666666,6894.373356704646,tn1,85.0,80.0,[6823.73636816]
16.09,11.63,0.2681666666666666,36.5655,187.1267,43.4345,9718.098197638286,tn1,85.0,80.0,[9772.88426397]
24.88,11.46,0.4146666666666666,36.98016666666667,285.1248,43.01983333333333,6224.734726688103,tn1,85.0,80.0,[6351.72898124]
4.81,11.89,0.0801666666666666,37.06033333333333,57.1909,42.93966666666667,32137.796257796264,tn1,85.0,80.0,[32391.28779934]
4.82,11.9,0.0803333333333333,37.14066666666667,57.358,42.85933333333333,32011.12033195021,tn1,85.0,80.0,[32129.31527882]
7.36,11.84,0.1226666666666666,37.263333333333335,87.14240000000001,42.736666666666665,20903.804347826084,tn1,85.0,80.0,[20639.40846256]
7.36,11.84,0.1226666666666666,37.386,87.14240000000001,42.614,20843.804347826084,tn1,85.0,80.0,[20639.40846256]
7.36,11.84,0.1226666666666666,37.50866666666667,87.14240000000001,42.49133333333333,20783.804347826084,tn1,85.0,80.0,[20625.40846256]
8.75,11.81,0.1458333333333333,37.654500000000006,103.3375,42.3455,17422.14857142857,tn1,85.0,80.0,[17637.11871168]
8.75,11.81,0.1458333333333333,37.80033333333334,103.3375,42.19966666666666,17362.148571428566,tn1,85.0,80.0,[17368.62298312]
8.75,11.81,0.1458333333333333,37.94616666666668,103.3375,42.05383333333332,17302.148571428566,tn1,85.0,80.0,[17343.18895688]
22.86,11.51,0.381,38.32716666666668,263.1186,41.67283333333332,6562.650918635169,tn1,85.0,80.0,[6625.87039275]
22.82,11.5,0.3803333333333333,38.70750000000001,262.43,41.29249999999999,6514.154250657317,tn1,85.0,80.0,[6593.44394432]
22.8,11.49,0.38,39.08750000000001,261.97200000000004,40.91249999999999,6459.868421052629,tn1,85.0,80.0,[6573.91826568]
22.78,11.47,0.3796666666666667,39.46716666666668,261.2866,40.53283333333332,6405.5399473222105,tn1,85.0,80.0,[6548.48710403]
11.52,11.7,0.192,39.65916666666668,134.784,40.34083333333332,12606.510416666664,tn1,85.0,80.0,[12316.70462354]
11.52,11.7,0.192,39.85116666666668,134.784,40.14883333333332,12546.510416666664,tn1,85.0,80.0,[12250.36039745]
11.52,11.7,0.192,40.04316666666668,134.784,39.95683333333332,12486.510416666662,tn1,85.0,80.0,[11988.69165642]
13.97,11.64,0.2328333333333333,40.27600000000001,162.6108,39.72399999999999,10236.678596993555,tn1,85.0,80.0,[10138.05409611]
13.97,11.64,0.2328333333333333,40.50883333333334,162.6108,39.49116666666666,10176.678596993554,tn1,85.0,80.0,[10041.01296302]
13.96,11.63,0.2326666666666667,40.74150000000001,162.3548,39.25849999999999,10123.968481375356,tn1,85.0,80.0,[9964.04023474]
13.96,11.63,0.2326666666666667,40.97416666666668,162.3548,39.02583333333333,10063.968481375356,tn1,85.0,80.0,[9907.31594722]
20.45,11.49,0.3408333333333333,41.31500000000001,234.9705,38.68499999999999,6810.0733496332505,tn1,85.0,80.0,[6906.79793167]
20.42,11.48,0.3403333333333334,41.65533333333335,234.42160000000004,38.344666666666654,6760.078354554356,tn1,85.0,80.0,[6856.98492813]
20.42,11.47,0.3403333333333334,41.99566666666668,234.21740000000003,38.00433333333332,6700.078354554355,tn1,85.0,80.0,[6806.14743961]
25.3,11.36,0.4216666666666667,42.41733333333335,287.408,37.582666666666654,5347.73122529644,tn1,85.0,80.0,[5464.92279893]
25.25,11.35,0.4208333333333333,42.83816666666668,286.5875,37.16183333333332,5298.320792079206,tn1,85.0,80.0,[5459.87313037]
25.22,11.33,0.4203333333333333,43.25850000000001,285.7426,36.74149999999999,5244.6233148295,tn1,85.0,80.0,[5468.86115787]
12.46,11.56,0.2076666666666667,43.46616666666668,144.03760000000003,36.53383333333332,10555.52166934189,tn1,85.0,80.0,[9810.48804257]
5.24,11.78,0.0873333333333333,43.553500000000014,61.7272,36.44649999999999,25039.580152671744,tn1,85.0,80.0,[24933.28727875]
5.24,11.78,0.0873333333333333,43.64083333333335,61.7272,36.35916666666665,24979.580152671748,tn1,85.0,80.0,[24840.6046721]
5.24,11.79,0.0873333333333333,43.72816666666668,61.7796,36.27183333333332,24919.580152671744,tn1,85.0,80.0,[24752.55640691]
14.29,11.56,0.2381666666666666,43.96633333333335,165.1924,36.033666666666655,9077.760671798458,tn1,85.0,80.0,[9080.58636975]
14.29,11.56,0.2381666666666666,44.20450000000001,165.1924,35.79549999999999,9017.760671798458,tn1,85.0,80.0,[9044.8804112]
23.23,11.37,0.3871666666666666,44.59166666666668,264.1251,35.408333333333324,5487.300904003442,tn1,85.0,80.0,[5487.54581993]
23.19,11.35,0.3865,44.978166666666674,263.2065,35.021833333333326,5436.765847347993,tn1,85.0,80.0,[5462.95822566]
23.16,11.34,0.386,45.36416666666668,262.6344,34.63583333333332,5383.808290155439,tn1,85.0,80.0,[5468.37693001]
23.13,11.32,0.3855,45.74966666666668,261.8316,34.25033333333332,5330.791180285342,tn1,85.0,80.0,[5480.2492675]
19.68,11.38,0.328,46.07766666666668,223.9584,33.92233333333332,6205.304878048778,tn1,85.0,80.0,[6115.61341289]
19.67,11.37,0.3278333333333333,46.40550000000001,223.6479,33.59449999999999,6148.459583121503,tn1,85.0,80.0,[5829.76607454]
19.66,11.36,0.3276666666666666,46.73316666666668,223.3376,33.266833333333324,6091.586978636824,tn1,85.0,80.0,[5766.60037122]
13.55,11.49,0.2258333333333333,46.95900000000001,155.6895,33.04099999999999,8778.420664206638,tn1,85.0,80.0,[9004.34943566]
13.55,11.49,0.2258333333333333,47.184833333333344,155.6895,32.815166666666656,8718.420664206638,tn1,85.0,80.0,[8992.10209563]
13.55,11.48,0.2258333333333333,47.41066666666668,155.554,32.58933333333332,8658.420664206638,tn1,85.0,80.0,[8954.88331565]
19.65,11.34,0.3274999999999999,47.73816666666668,222.831,32.26183333333332,5910.564885496182,tn1,85.0,80.0,[5684.45569886]
19.64,11.33,0.3273333333333333,48.065500000000014,222.5212,31.934499999999986,5853.574338085537,tn1,85.0,80.0,[5677.43792238]
16.02,11.4,0.267,48.33250000000002,182.628,31.667499999999983,7116.292134831458,tn1,85.0,80.0,[7305.99207471]
16.02,11.39,0.267,48.59950000000002,182.4678,31.40049999999998,7056.292134831457,tn1,85.0,80.0,[7176.62991282]
